업소명,업종,업태,도로명주소
(뉴)진수성찬,일반음식점,한식,강원특별자치도 춘천시 공지로 450(1층 우측상가호 근화동)
(주)비젼푸드직원식당,일반음식점,한식,강원특별자치도 춘천시 신동면 김유정로 730(주청순시대직원식당 1층)
(주)아워홈 더플레이어스지씨(클럽하우스),일반음식점,한식,강원특별자치도 춘천시 동산면 새술막길 438
(주)아워홈더플레이어스지씨(스타트하우스),일반음식점,한식,강원특별자치도 춘천시 동산면 새술막길 438
(주)원일유통 춘천(상)휴게소,일반음식점,한식,강원특별자치도 춘천시 동내면 영서로 1432
(주)이마트춘천점(구이류),일반음식점,한식,강원특별자치도 춘천시 경춘로 2353(이마트 온의동)
(주)이마트춘천점(밥류),일반음식점,한식,강원특별자치도 춘천시 경춘로 2353(이마트 온의동)
"(주)이마트춘천점(튀김류,오리엔탈)",일반음식점,분식,강원특별자치도 춘천시 경춘로 2353(이마트 온의동)
(주)지엘파가니카클럽하우스,일반음식점,한식,강원특별자치도 춘천시 남면 소주고개로 145-10
(주)춘천장어마을,일반음식점,한식,"강원특별자치도 춘천시 구마니1길 36-11(A, D, E동 1층 삼천동)"
(주)한우기업,일반음식점,한식,강원특별자치도 춘천시 강원대학길 1(2동 4층 효자동)
(주)호반월드,일반음식점,한식,"강원특별자치도 춘천시 백령로 18(효자동, 336-2)"
100년명동한식,일반음식점,한식,강원특별자치도 춘천시 중앙로 41-3(2층 중앙로1가)
102국밥,일반음식점,한식,강원특별자치도 춘천시 신북읍 영서로 3278(1층)
1973우육면관,일반음식점,한식,강원특별자치도 춘천시 춘천로 335(후평동)
1단지김밥,일반음식점,분식,강원특별자치도 춘천시 춘천로310번길 24(1층 후평동)
234산장가든,일반음식점,한식,강원특별자치도 춘천시 남산면 서백길 86-9
246한식선,일반음식점,한식,강원특별자치도 춘천시 후석로 246(농협후평지소 1층 후평동)
24전주명가콩나물국밥장학점,일반음식점,한식,"강원특별자치도 춘천시 동면 춘천로 451(1층 101,102호)"
25시김밥,일반음식점,분식,"강원특별자치도 춘천시 안마산로 214(퇴계동, 퇴계금호타운@상가1층3호)"
2린닭갈비,일반음식점,한식,강원특별자치도 춘천시 서부대성로239번길 47-26(2층 후평동)
33떡볶이앤꼬마김밥온의점,일반음식점,분식,강원특별자치도 춘천시 스포츠타운길 533(1층 101호 온의동)
33떡볶이퇴계석사점,일반음식점,분식,강원특별자치도 춘천시 퇴계로 205(1층 석사동)
33떡볶이후평점,일반음식점,분식,강원특별자치도 춘천시 후석로326번길 11(후평동)
363숯불구이,일반음식점,한식,강원특별자치도 춘천시 삭주로 194(후평동)
486식당,일반음식점,한식,강원특별자치도 춘천시 벌말길 62(1층 석사동)
4단지닭갈비,일반음식점,한식,강원특별자치도 춘천시 후만로 81(후평동)
5.5닭갈비,일반음식점,한식,강원특별자치도 춘천시 남춘로 33(퇴계동)
5떡볶이,일반음식점,분식,강원특별자치도 춘천시 서부대성로44번길 22-1(1층 좌측상가호 요선동)
7080위드유,일반음식점,한식,강원특별자치도 춘천시 영서로2753번길 4(우두동)
733,일반음식점,분식,강원특별자치도 춘천시 신북읍 신샘밭로 733(상가동 1층 101호)
8월의중식,일반음식점,한식,강원특별자치도 춘천시 후석로393번길 39(후평동)
9우미닭갈비,일반음식점,한식,강원특별자치도 춘천시 삭주로 116(후평동)
bhc애막골점,일반음식점,한식,강원특별자치도 춘천시 애막골길3번길 34(1층 석사동)
가고파닭발,일반음식점,분식,강원특별자치도 춘천시 후석로 421(1층 후평동)
가라와라국물닭발춘천퇴계점,일반음식점,한식,강원특별자치도 춘천시 퇴계로105번길 5(1층 퇴계동)
가락재정상쉼터,일반음식점,한식,강원특별자치도 춘천시 동면 가락재로 1662
가람스넥,일반음식점,분식,강원특별자치도 춘천시 봉의산길22번길 30-1(교동)
가리미김밥거두점,일반음식점,한식,강원특별자치도 춘천시 동내면 공지로 70-57
가리미김밥석사세경점,일반음식점,분식,강원특별자치도 춘천시 남춘천새길 39(1층 효자동)
가리미김밥온의점,일반음식점,한식,강원특별자치도 춘천시 영서로2279번길 13(온의동)
가마골소머리곰탕,일반음식점,한식,강원특별자치도 춘천시 동내면 학곡서1길 7(1층)
가마골인삼순대,일반음식점,한식,강원특별자치도 춘천시 효석로89번길 29-1(석사동)
가마솥,일반음식점,한식,강원특별자치도 춘천시 신동면 풍류길 12(1층)
